﻿ID	Value
htd1	સપ્તપુરીઓના\N-NNP દર્શનથી\N_NN મળે\V_VM છે\V_VAUX મોક્ષ \N_NN.\RD_PUNC
htd2	હિંદુધર્મમાં\N_NN તીર્થનું\N_NN ઘણું\QT_QTF મહત્ત્વ\JJ છે\V_VAUX  .\RD_PUNC
htd3	આમ\RP_RPD તો\RP_RPD દરેક\DM_DMD તીર્થ\N_NN મહાન\JJ અને\CC_CCD મહત્ત્વપૂર્ણ\JJ છે\V_VAUX ,\RD_PUNC પણ\CC_CCD સાત\QT_QTC સ્થાનોની\N_NN મહત્તા\N_NN અને\CC_CCD માન્યતા\N_NN છે\V_VAUX .\RD_PUNC
htd4	આ\DM_DMD સાતેય\QT_QTC ઘર્મસ્થળ\N_NN સાત\QT_QTC નગર\N_NN અથવા\CC_CCD સપ્તપુરીઓના\N-NNP સ્વરૂપે\N_NN ગ્રથોમાં\N_NN વર્ણવાયેલા\V_VM છે\V_VAUX  .\RD_PUNC
htd5	એમ\RP_RPD કહેવાય\V_VM કે\CC_CCS ચાતુર્માસમાં\N_NN આ\DM_DMD સપ્તપુરીઓના\N-NNP દર્શન\N_NN મોક્ષ\N_NN આપનાર\V_VM હોય\V_VAUX છે\V_VAUX  .\RD_PUNC
htd6	એનું\PR_PRL નામ\N_NN બનારસ\N-NNP અથવા\CC_CCD વારાણસી\N-NNP પણ\CC_CCD છે\V_VAUX  .\RD_PUNC
htd7	ગંગાકિનારે\N-NNP આ\DM_DMD ભગવાન\N_NN શંકરની\N-NNP પ્રસિદ્ધ\JJ પુરી\N-NNP છે\V_VAUX  .\RD_PUNC
htd8	મુગલસરાયથી\N-NNP અમૃતસર\N-NNP અને\CC_CCD દહેરાદૂન\N-NNP જનારી\V_VM મુખ્ય\JJ રેલવેલાઈન\N_NN પર\PSP મુગલસરાય\N-NNP સ્ટેશનથી\N_NN ઈલના\N_NN અંતરે\N_NN કાશી\N-NNP અને\CC_CCD એનાથી\PR_PRL માઈલ\N_NN આગળ\N_NST બનારસ\N-NNP છાવણી\N_NN સ્ટેશન\N_NN છે\V_VAUX  .\RD_PUNC
htd9	અલ્હાબાદના\N-NNP પ્રયાગસ્ટેશનથી\N-NNP પણ\CC_CCD એક\QT_QTC સીધી\JJ લાઈન\N_NN કાશી\N-NNP થઈને\V_VM બનારસ\N-NNP છાવણી\N-NNP સુધી\RP_RPD જાય\V_VM છે\V_VAUX  .\RD_PUNC
htd10	પૂર્વોત્તર\N_NST રેલવેની\N_NN એક\QT_QTC લાઈન\N_NN ભટનીથી\N-NNP અને\CC_CCD બીજી\QT_QTO છપરાથી\N-NNP અલ્હાબાદશહેર\N-NNP સુધી\RP_RPD જાય\V_VM છે\V_VAUX  .\RD_PUNC
htd11	આ\DM_DMD માર્ગે\N_NN પણ\CC_CCD બનારસ\N-NNP શહેર\N_NN થઈને\V_VM છાવણી\N-NNP જઈ\V_VM શકાય\V_VAUX છે\V_VAUX  .\RD_PUNC
htd12	પતિતપાવની\JJ ગંગા\N-NNP હરિદ્વારમાં\N-NNP પર્વતીયપ્રદેશ\N_NN છોડીને\V_VM સમથળભૂમિમાં\N_NN પ્રવેશ\N_NN કરે\V_VM છે\V_VAUX  .\RD_PUNC
htd13	તેથી\RP_RPD જ\RP_RPD હરદ્વારને\N-NNP ગંગાદ્વાર\N-NNP પણ\CC_CCD કહે\V_VM છે\V_VAUX  .\RD_PUNC
htd14	હરદ્વારમાં\N-NNP દરરોજ\N_NST સાંજે\N_NST થતી\V_VM ગંગામાની\N-NNP આરતીના\N_NN સમયે\N_NN શ્રદ્ધાળુઓની\N_NN ભીડ\N_NN થાય\V_VM છે\V_VAUX  .\RD_PUNC
htd15	ગંગાનદી\N-NNP પર\PSP તરતા\V_VM દીવડાંઓનું\N_NN દ્રશ્ય\N_NN જોતાં\V_VM જ\RP_RPD અનુભવાય\V_VM છે\V_VAUX  .\RD_PUNC
htd16	ઉત્તરરેલવેના\N_NN મુગલસરાયથી\N-NNP અમૃતસર\N-NNP જતી\V_VM મુખ્ય\JJ લાઈન\N_NN પર\PSP સ્ટેશન\N_NN છે\V_VAUX  .\RD_PUNC
htd17	લક્સરથી\N-NNP એક\QT_QTC લાઈન\N_NN હરિદ્વાર\N-NNP સુધી\RP_RPD જાય\V_VM છે\V_VAUX  .\RD_PUNC
htd18	પ્રાચીન\JJ સમયમાં\N_NN પિતામહ\JJ બ્રહ્માજીએ\N-NNP કાંચીમાં\N-NNP મા\N_NN ભગવતીના\N-NNP દર્શન\N_NN કરવા\V_VM કઠોર\JJ તપ\N_NN કર્યું\V_VM હતું\V_VAUX .\RD_PUNC
htd19	ત્યારે\N_NST મહાલક્ષ્મી\N-NNP હાથમાં\N_NN કમળ\N_NN ધારણ\V_VM કરીને\V_VM તેમની\PR_PRL સમ્મુખ\PSP પ્રગટ\V_VM થયા\V_VAUX હતાં\V_VAUX .\RD_PUNC
htd20	દક્ષિણરેલવેના\N_NN ચેન્નઈ\N-NNP સ્ટેશનથી\N_NN ધનુષ્કોટિ\N-NNP જતી\V_VM મુખ્ય\JJ લાઈન\N_NN પર\PSP ચેન્નઈથી\N-NNP માઈલના\N_NN અંતરે\N_NN ચેંગલપટ\N-NNP સ્ટેશન\N_NN છે\V_VAUX  .\RD_PUNC
htd21	ચેંગલપટ\N_NNP સ્ટેશનથી\N_NN એક\QT_QTC લાઈન\N_NN અરકોનમ\N-NNP સુધી\RP_RPD જાય\V_VM છે\V_VAUX  .\RD_PUNC
htd22	ચેંગલપટ\N_NNP સ્ટેશનથી\N_NN અરકોનમ\N_NN જતી\N_NN લાઈન\N_NN પર\PSP કાંજીવરમ\N-NNP સ્ટેશન\N_NN છે\V_VAUX  .\RD_PUNC
htd23	સ્ટેશનનું\N_NN નામ\N_NN ભલે\RP_RPD કાંજીવરમ\N-NNP ચોક્કસ\RP_RPD છે\V_VAUX ,\RD_PUNC પરંતુ\CC_CCD નગરનું\N_NN નામ\N_NN કાંચીપુરમ\N-NNP છે\V_VAUX  .\RD_PUNC
htd24	અયોધ્યા\N-NNP ભગવાન\N_NN શ્રીરામના\N-NNP અવતારની\N_NN પવિત્ર\JJ ભૂમિ\N_NN છે\V_VAUX  .\RD_PUNC
htd25	અયોધ્યાનગરી\N-NNP પવિત્ર\JJ સરયૂ\N-NNP નદીના\N_NN કાંઠે\N_NN વસેલી\V_VM છે\V_VAUX  .\RD_PUNC
htd26	ઉત્તરરેલવેની\N_NN મુગલસરાય\N-NNP લખનઉ\N-NNP લાઈનના\N_NN મુગલસરાય\N-NNP સ્ટેશનથી\N_NN ૧૨૮\N_NN માઈલના\N_NN અંતરે\N_NN અયોધ્યા\N-NNP સ્ટેશન\N_NN છે\V_VAUX  .\RD_PUNC
htd27	શિપ્રા\N-NNP અથવા\CC_CCD ક્ષિપ્રા\N-NNP નદીના\N_NN કાંઠે\N_NN વસેલી\V_VM મહાકાલીની\N-NNP આ\DM_DMD ઉજ્જૈન\N-NNP નગરી\N_NN પતિતપાવની\JJ છે\V_VAUX  .\RD_PUNC
htd28	કહેવાય\V_VM છે\V_VAUX કે\CC_CCS ઉજ્જૈનમાં\N-NNP મહાકાલને\N-NNP પ્રણામ\N_NN કરી\V_VM લીધા\V_VM પછી\PSP મૃત્યુની\N_NN ચિંતા\N_NN રહેતી\V_VM નથી\RP_NEG .\RD_PUNC
htd29	મધ્યરેલવેની\N_NN મુંબઈ\N_NNP ભોપાલ\N_NNP દિલ્હીલાઈનના\N-NNP ભોપાલ\N-NNP સ્ટેશનથી\N_NN એક\QT_QTC લાઈન\N_NN ઉજ્જૈન\N-NNP જાય\V_VM છે\V_VAUX  .\RD_PUNC
htd30	પશ્ચિમરેલવેની\N_NN મુંબઈ\N_NNP કોટા\N_NNP દિલ્હીલાઈન\N-NNP પર\PSP નાગદા\N-NNP સ્ટેશનથી\N_NNP એક\QT_QTC મોટી\JJ લાઈન\N_NN પણ\CC_CCD ઉજ્જૈન\N-NNP સુધી\RP_RPD ગઇ\V_VM છે\V_VAUX  .\RD_PUNC
htd31	આ\DM_DMD લાઈનના\N_NN મહૂ\N-NNP સ્ટેશનથી\N_NNP પણ\CC_CCD એક\QT_QTC લાઈન\N_NN ઉજ્જૈન\N-NNP સુધી\RP_RPD જાય\V_VM છે\V_VAUX  .\RD_PUNC
htd32	દ્વારકા\N-NNP ચાર\QT_QTC ધામોમાંનું\N_NN એક\QT_QTC ધામ\N_NN પણ\CC_CCD છે\V_VAUX  .\RD_PUNC
htd33	ભગવાન\N_NN કૃષ્ણે\N-NNP એને\PR_PRL સમુદ્ર\N_NN મધ્યે\PSP વિશેષ\JJ રૂપે\N_NN નિર્માણ\N_NN કર્યું\V_VM હતું\V_VAUX .\RD_PUNC
htd34	પશ્ચિમરેલવેની\N_NN સુરેન્દ્રનગર\N_NNP ઓખા\N-NNP પોર્ટલાઈન\N_NN પર\PSP આવેલ\V_VM આ\DM_DMD નગર\N_NN સમુદ્રકિનારાનું\N_NN સ્ટેશન\N_NN છે\V_VAUX  .\RD_PUNC
htd35	યમુના\N-NNP કિનારે\N_NN ભગવાન\N_NN શ્રીકૃષ્ણની\N-NNP અવતારભૂમિનું\N_NN આ\DM_DMD પવિત્ર\JJ નગર\N_NN મથુરા\N-NNP છે\V_VAUX  .\RD_PUNC
htd36	પૂર્વોત્તરરેલવેની\N_NN આગરા\N-NNP ફોર્ટથી\N_NN ગોરખપુર\N-NNP જતી\V_VM લાઈન\N_NN તથા\CC_CCD પશ્ચિમ\N_NST રેલવેની\N_NN મુંબઈ\N_NNP કોટા\N_NNP દિલ્હી\N-NNP લાઈન\N_NN પર\PSP મથુરા\N-NNP સ્ટેશન\N_NNP છે\V_VAUX  .\RD_PUNC
htd37	ગઢમુક્તેશ્વર\N-NNP હિંદુઓનું\N_NN પવિત્ર\JJ યાત્રાધામ\N_NN છે\V_VAUX  .\RD_PUNC
htd38	ચાલો\V_VM ,\RD_PUNC ગઢ\N_NN મુક્તેશ્વરના\N-NNP ગંગા\N-NNP મેળામાં\N_NN .\RD_PUNC
htd39	ગાજિયાબાદ\N-NNP જિલ્લાના\N_NN ગઢમુક્તેશ્વરમાં\N-NNP પતિતપાવની\JJ ગંગાનદીના\N-NNP કિનારે\N_NN દર\RP_INTF વર્ષે\N_NN કાર્તિક\N-NNP પૂર્ણિમા\N_NNP અવસરે\N_NN ભરાતા\V_VM ઉત્તર\N_NST ભારતના\N-NNP પ્રસિદ્ધ\JJ અને\CC_CCD પ્રાચીન\JJ ધાર્મિક\JJ મેળાનો\N_NN ઇતિહાસ\N_NN લગભગ\RP_RPD પાંચ\QT_QTC હજાર\QT_QTC વર્ષ\N_NN જૂનો\JJ છે\V_VAUX  .\RD_PUNC
htd40	આ\DM_DMD વખતે\N_NN પણ\CC_CCD ગઢમુક્તેશ્વરના\N-NNP મેળામાં\N_NN માનવમહેરામણ\N_NN ઉમટ્યો\V_VM છે\V_VAUX મુખ્યસ્નાન\N_NN માટે\PSP પણ\CC_CCD શ્રદ્ધાળુઓની\N_NN ખૂબ\QT_QTC ભીડ\N_NN થઈ\V_VM રહી\V_VAUX છે\V_VAUX  .\RD_PUNC
